Year	ValueClose
2008	11,326.32
2008	11,734.32
2008	11,659.90
2008	11,628.06
2008	11,543.55
2008	11,220.96
2008	11,421.99
2008	11,388.44
2008	11,143.13
2008	10,325.38
2008	8,451.19
2008	8,852.22
2008	8,378.95
2008	9,325.01
2008	8,943.81
2008	8,497.31
2008	8,046.42
2008	8,829.04
2008	8,635.42
2008	8,629.68
2008	8,579.11
2008	8,515.55
2008	8,776.39
2009	9,034.69
2009	8,599.18
2009	8,281.22
2009	8,077.56
2009	8,000.86
2009	8,280.59
2009	7,850.41
2009	7,365.67
2009	7,062.93
2009	6,626.94
2009	6,507.04
2009	7,223.98
2009	7,278.38
2009	7,776.18
2009	8,017.59
2009	8,083.38
2009	8,131.33
2009	8,076.29
2009	8,212.41
2009	8,574.65
2009	8,268.64
2009	8,277.32
2009	8,500.33
2009	8,763.13
2009	8,799.26
2009	8,539.73
2009	8,438.39
2009	8,280.74
2009	8,146.52
2009	8,743.94
2009	9,093.24
2009	9,171.61
2009	9,370.07
2009	9,321.40
2009	9,505.96
2009	9,544.20
2009	9,441.27
2009	9,605.41
2009	9,820.20
2009	9,665.19
2009	9,487.67
2009	9,864.94
2009	9,995.91
2009	9,972.18
2009	9,712.73
2009	10,023.42
2009	10,270.47
2009	10,318.16
2009	10,309.92
2009	10,388.90
2009	10,471.50
2009	10,328.89
2009	10,520.10
2009	10,428.05
2010	10,618.19
2010	10,609.65
2010	10,172.98
2010	10,067.33
2010	10,012.23
2010	10,099.14
2010	10,402.35
2010	10,325.26
2010	10,566.20
2010	10,624.69
2010	10,741.98
2010	10,850.36
2010	10,927.07
2010	10,997.35
2010	11,018.66
2010	11,204.28
2010	11,008.61
2010	10,380.43
2010	10,620.16
2010	10,193.39
2010	10,136.63
2010	9,931.97
2010	10,211.07
2010	10,450.64
2010	10,143.81
2010	9,686.48
2010	10,198.03
2010	10,097.90
2010	10,424.62
2010	10,465.94
2010	10,653.56
2010	10,303.15
2010	10,213.62
2010	10,150.65
2010	10,447.93
2010	10,462.77
2010	10,607.85
2010	10,860.26
2010	10,829.68
2010	11,006.48
2010	11,062.78
2010	11,132.56
2010	11,118.49
2010	11,444.08
2010	11,192.58
2010	11,203.55
2010	11,092.00
2010	11,382.09
2010	11,410.32
2010	11,491.91
2010	11,573.49
2010	11,577.51
2011	11,674.76
2011	11,787.38
2011	11,871.84
2011	11,823.70
2011	12,092.15
2011	12,273.26
2011	12,391.25
2011	12,130.45
2011	12,169.88
2011	12,044.40
2011	11,858.52
2011	12,220.59
2011	12,376.72
2011	12,380.05
2011	12,341.83
2011	12,505.99
2011	12,810.54
2011	12,638.74
2011	12,595.75
2011	12,512.04
2011	12,441.58
2011	12,151.26
2011	11,951.91
2011	12,004.36
2011	11,934.58
2011	12,582.77
2011	12,657.20
2011	12,479.73
2011	12,681.16
2011	12,143.24
2011	11,444.61
2011	11,269.02
2011	10,817.65
2011	11,284.54
2011	11,240.26
2011	10,992.13
2011	11,509.09
2011	10,771.48
2011	10,913.38
2011	11,103.12
2011	11,644.49
2011	11,808.79
2011	12,231.11
2011	11,983.24
2011	12,153.68
2011	11,796.16
2011	11,231.78
2011	12,019.42
2011	12,184.26
2011	11,866.39
2011	12,294.00
2011	12,217.56
2012	12,359.92
2012	12,422.06
2012	12,720.48
2012	12,660.46
2012	12,862.23
2012	12,801.23
2012	12,949.87
2012	12,982.95
2012	12,977.57
2012	12,922.02
2012	13,232.62
2012	13,080.73
2012	13,212.04
2012	13,060.14
2012	12,849.59
2012	13,029.26
2012	13,228.31
2012	13,038.27
2012	12,820.60
2012	12,369.38
2012	12,454.83
2012	12,118.57
2012	12,554.20
2012	12,767.17
2012	12,640.78
2012	12,880.09
2012	12,772.47
2012	12,777.09
2012	12,822.57
2012	13,075.66
2012	13,096.17
2012	13,207.95
2012	13,275.20
2012	13,157.97
2012	13,090.84
2012	13,306.64
2012	13,593.37
2012	13,579.47
2012	13,437.13
2012	13,610.15
2012	13,328.85
2012	13,343.51
2012	13,107.21
2012	13,093.16
2012	12,815.39
2012	12,588.31
2012	13,009.68
2012	13,025.58
2012	13,155.13
2012	13,135.01
2012	13,190.84
2012	12,938.11
2012	13,104.14
2013	13,435.21
2013	13,488.43
2013	13,649.70
2013	13,895.98
2013	14,009.79
2013	13,992.97
2013	13,981.76
2013	14,000.57
2013	14,089.66
2013	14,397.07
2013	14,514.11
2013	14,512.03
2013	14,578.54
2013	14,565.25
2013	14,865.06
2013	14,547.51
2013	14,712.55
2013	14,973.96
2013	15,118.49
2013	15,354.40
2013	15,303.10
2013	15,115.57
2013	15,248.12
2013	15,070.18
2013	14,799.40
2013	14,909.60
2013	15,135.84
2013	15,464.30
2013	15,543.74
2013	15,558.83
2013	15,658.36
2013	15,425.51
2013	15,081.47
2013	15,010.51
2013	14,810.31
2013	14,922.50
2013	15,376.06
2013	15,451.09
2013	15,258.24
2013	15,072.58
2013	15,237.11
2013	15,399.65
2013	15,570.28
2013	15,615.55
2013	15,761.78
2013	15,961.70
2013	16,064.77
2013	16,086.41
2013	16,020.20
2013	15,755.36
2013	16,221.14
2013	16,478.41
2013	16,576.66
2013	16,469.99
2013	16,437.05
2013	16,458.56
2013	15,879.11
2013	15,698.85
2014	15,794.08
2014	16,154.39
2014	16,103.30
2014	16,321.71
2014	16,452.72
2014	16,065.67
2014	16,302.77
2014	16,323.06
2014	16,412.71
2014	16,026.75
2014	16,408.54
2014	16,361.46
2014	16,512.89
2014	16,583.34
2014	16,491.31
2014	16,606.27
2014	16,717.17
2014	16,924.28
2014	16,775.74
2014	16,947.08
2014	16,851.84
2014	17,068.26
2014	16,943.81
2014	17,100.18
2014	16,960.57
2014	16,493.37
2014	16,553.93
2014	16,662.91
2014	17,001.22
2014	17,098.45
2014	17,137.36
2014	16,987.51
2014	17,279.74
2014	17,113.15
2014	17,009.69
2014	16,544.10
2014	16,380.41
2014	16,805.41
2014	17,390.52
2014	17,573.93
2014	17,634.74
2014	17,810.06
2014	17,828.24
2014	17,958.79
2014	17,280.83
2014	17,804.80
2014	18,053.71
2014	17,823.07
2015	17,832.99
2015	17,737.37
2015	17,511.57
2015	17,672.60
2015	17,164.95
2015	17,824.29
2015	18,019.35
2015	18,140.44
2015	18,132.70
2015	17,856.78
2015	17,749.31
2015	18,127.65
2015	17,712.66
2015	17,763.24
2015	18,057.65
2015	17,826.30
2015	18,080.14
2015	18,024.06
2015	18,191.11
2015	18,272.56
2015	18,232.02
2015	18,010.68
2015	17,849.46
2015	17,898.84
2015	18,015.95
2015	17,946.68
2015	17,730.11
2015	17,730.11
2015	18,086.45
2015	17,568.53
2015	17,689.86
2015	17,373.38
2015	17,477.40
2015	16,459.75
2015	16,643.01
2015	16,102.38
2015	16,433.09
2015	16,384.58
2015	16,314.67
2015	16,472.37
2015	17,084.49
2015	17,215.97
2015	17,646.70
2015	17,663.54
2015	17,910.33
2015	17,245.24
2015	17,823.81
2015	17,813.39
2015	17,847.63
2015	17,265.21
2015	17,128.55
2015	17,552.17
2015	17,425.03
2016	16,346.45
2016	15,988.08
2016	16,093.51
2016	16,466.30
2016	16,204.97
2016	15,973.84
2016	16,391.99
2016	16,639.97
2016	17,006.77
2016	17,213.31
2016	17,602.30
2016	17,515.73
2016	17,792.75
2016	17,576.96
2016	17,897.46
2016	18,003.75
2016	17,773.64
2016	17,740.63
2016	17,535.32
2016	17,500.94
2016	17,873.22
2016	17,807.06
2016	17,865.34
2016	17,675.16
2016	17,400.75
2016	17,949.37
2016	18,146.74
2016	18,516.55
2016	18,570.85
2016	18,432.24
2016	18,543.53
2016	18,576.47
2016	18,552.57
2016	18,395.40
2016	18,491.96
2016	18,085.45
2016	18,123.80
2016	18,261.45
2016	18,308.15
2016	18,240.49
2016	18,138.38
2016	18,145.71
2016	18,161.19
2016	17,888.28
2016	18,847.66
2016	18,867.93
2016	19,152.14
2016	19,170.42
2016	19,756.85
2016	19,843.41
2016	19,933.81
2016	19,762.60
2017	19,963.80
2017	19,885.73
2017	19,827.25
2017	20,093.78
2017	20,071.46
2017	20,269.37
2017	20,624.05
2017	20,821.76
2017	21,005.71
2017	20,902.98
2017	20,914.62
2017	20,596.72
2017	20,663.22
2017	20,656.10
2017	20,453.25
2017	20,547.76
2017	20,940.51
2017	21,006.94
2017	20,896.61
2017	20,804.84
2017	21,080.28
2017	21,206.29
2017	21,271.97
2017	21,384.28
2017	21,394.76
2017	21,349.63
2017	21,414.34
2017	21,637.74
2017	21,580.07
2017	21,830.31
2017	22,092.81
2017	21,858.32
2017	21,674.51
2017	21,813.67
2017	21,987.56
2017	21,797.79
2017	22,268.34
2017	22,349.59
2017	22,405.09
2017	22,773.67
2017	22,871.72
2017	23,328.63
2017	23,434.19
2017	23,539.19
2017	23,422.21
2017	23,358.24
2017	23,557.99
2017	24,231.59
2017	24,329.16
2017	24,651.74
2017	24,754.06
2017	24,719.22
2018	25,075.13
2018	25,803.19
2018	26,071.72
2018	26,616.71
2018	25,520.96
2018	24,190.90
2018	25,219.38
